"L_bankssts_surfavg","L_caudalanteriorcingulate_surfavg","L_caudalmiddlefrontal_surfavg","L_cuneus_surfavg","L_entorhinal_surfavg","L_fusiform_surfavg","L_inferiorparietal_surfavg","L_inferiortemporal_surfavg","L_isthmuscingulate_surfavg","L_lateraloccipital_surfavg","L_lateralorbitofrontal_surfavg","L_lingual_surfavg","L_medialorbitofrontal_surfavg","L_middletemporal_surfavg","L_parahippocampal_surfavg","L_paracentral_surfavg","L_parsopercularis_surfavg","L_parsorbitalis_surfavg","L_parstriangularis_surfavg","L_pericalcarine_surfavg","L_postcentral_surfavg","L_posteriorcingulate_surfavg","L_precentral_surfavg","L_precuneus_surfavg","L_rostralanteriorcingulate_surfavg","L_rostralmiddlefrontal_surfavg","L_superiorfrontal_surfavg","L_superiorparietal_surfavg","L_superiortemporal_surfavg","L_supramarginal_surfavg","L_frontalpole_surfavg","L_temporalpole_surfavg","L_transversetemporal_surfavg","L_insula_surfavg","R_bankssts_surfavg","R_caudalanteriorcingulate_surfavg","R_caudalmiddlefrontal_surfavg","R_cuneus_surfavg","R_entorhinal_surfavg","R_fusiform_surfavg","R_inferiorparietal_surfavg","R_inferiortemporal_surfavg","R_isthmuscingulate_surfavg","R_lateraloccipital_surfavg","R_lateralorbitofrontal_surfavg","R_lingual_surfavg","R_medialorbitofrontal_surfavg","R_middletemporal_surfavg","R_parahippocampal_surfavg","R_paracentral_surfavg","R_parsopercularis_surfavg","R_parsorbitalis_surfavg","R_parstriangularis_surfavg","R_pericalcarine_surfavg","R_postcentral_surfavg","R_posteriorcingulate_surfavg","R_precentral_surfavg","R_precuneus_surfavg","R_rostralanteriorcingulate_surfavg","R_rostralmiddlefrontal_surfavg","R_superiorfrontal_surfavg","R_superiorparietal_surfavg","R_superiortemporal_surfavg","R_supramarginal_surfavg","R_frontalpole_surfavg","R_temporalpole_surfavg","R_transversetemporal_surfavg","R_insula_surfavg"
1106,511,2076,1704,379,3552,5027,4034,1372,5330,3043,3798,1988,3883,741,1378,2163,769,1796,1567,4224,1460,5390,4490,775,6118,8298,5930,4461,4487,276,462,478,2902,1182,804,2198,1816,273,3487,6410,3096,1164,5344,2705,3507,2062,4502,763,1775,1614,874,1810,1647,4237,1471,4984,4864,719,6338,7633,5993,4345,3954,341,438,354,2744
924,654,2256,1657,375,2899,3596,3344,899,4707,2525,3033,1674,2626,565,1270,1606,664,1291,1554,4011,1202,4468,2708,996,5220,7461,4668,3668,3865,251,459,466,2236,727,623,2075,1868,355,3168,4452,2753,854,4692,2478,3264,1703,2961,664,1413,1250,766,1436,1708,4390,1194,4919,2802,680,5132,7402,4806,3506,3166,283,414,307,2285
1131,1011,2975,1530,499,3388,5009,3433,970,4992,2759,2790,1926,3578,775,1518,1758,669,1415,1448,4639,1378,4991,4413,917,6199,7788,6163,4330,4364,309,430,475,2868,1111,724,2464,1604,341,3178,5398,3059,946,5350,2822,3151,1882,4197,713,1748,1546,943,1587,1646,4340,1506,4914,4432,647,6753,8191,5595,4070,4027,291,380,413,2279
1233,660,2481,1403,436,3419,5512,3401,1124,4927,2891,2508,1956,3474,903,1385,1597,718,1385,977,4562,961,4961,4083,930,5850,6902,6387,3853,4382,288,458,422,2480,1003,777,3279,1375,472,3374,6075,3605,658,4925,2779,2977,1929,3921,811,1977,1729,919,1555,1230,3938,1059,5975,3366,848,6756,8813,4130,3813,2519,311,423,344,2176
1322,622,2357,1309,304,3349,4717,3513,887,4685,2931,3014,2177,3363,715,1573,1618,776,1579,1252,4166,1104,4593,3995,856,6072,7395,5575,4460,4728,195,410,479,2112,1249,671,2045,1521,302,3043,5979,2954,978,4450,2814,2925,2007,3915,693,1561,1416,892,1475,1383,4182,1099,4911,4104,630,6152,7012,5552,4232,4765,364,463,346,2269
1554,669,2148,1366,413,3038,5204,3477,1110,4989,2642,3190,1779,3655,627,1348,1639,620,1136,1417,3884,1224,4717,3835,932,5615,7718,5228,4191,4801,236,533,431,2745,1093,831,1761,1631,370,3051,6748,4113,864,4961,2751,3065,2060,4368,670,1442,1416,690,1246,1519,4063,1222,4723,4032,670,6114,6744,5762,3614,3664,248,425,306,2145
1186,604,1808,1388,390,2759,4488,3144,994,5338,2457,2642,1750,3212,578,1202,1597,614,1176,1104,4291,1248,5263,3343,540,4800,6785,5307,4365,3726,211,413,492,2184,880,707,1958,1416,421,2789,5514,3325,1058,5010,2645,3091,1671,3576,522,1476,1459,778,1524,1325,3872,1322,4962,4115,496,5150,6018,5400,3533,3437,251,448,312,2240
1080,528,2405,1554,437,2682,4357,3537,1101,5191,2903,3358,1742,3394,659,1363,1569,837,1470,1377,4727,1023,5183,3983,663,5337,6946,4768,3981,3749,237,449,382,2574,958,801,1728,1661,439,2823,4910,3389,889,5499,3013,3202,1877,3893,618,1454,1119,990,1600,1443,4000,1272,5089,3948,643,5847,6653,5452,3453,3638,337,472,280,2333
932,811,2318,1575,478,2892,4051,3391,1014,4963,2127,2973,1459,3310,616,1418,1663,722,1336,1535,4360,1147,4571,3811,949,5517,6430,5396,4485,4625,273,498,490,2301,1024,688,2293,1569,476,3120,5386,3475,855,4735,2189,3383,1514,3675,632,1611,1376,795,1544,1770,4100,1235,4694,3613,514,5048,6543,4634,3698,3581,267,452,358,2044
1308,765,2532,1988,512,3575,5747,3894,1135,6162,2746,3184,1880,3537,648,1416,1609,760,1364,1624,4736,1262,5578,4767,939,6472,8049,6560,4454,4946,303,521,474,2544,919,510,2036,2048,507,3384,6910,4037,1111,5989,2770,3645,2286,4078,634,1727,1568,849,1646,1825,4548,1130,5274,4517,594,6302,7296,6124,4057,4680,304,509,353,2499
978,459,1727,1290,366,2830,3766,2867,824,4228,2306,2148,1443,2666,651,1252,1452,648,1243,1005,3996,1163,4673,3643,587,4720,6620,5128,3311,4183,216,424,352,1959,647,790,1461,1389,313,2638,4785,3255,664,3660,2342,2557,1696,3117,593,1243,887,768,1045,1380,3759,1131,4668,3617,587,4530,6581,5279,3044,3082,216,385,240,1699
1044,795,2635,1728,465,3516,6049,3641,1271,5826,2791,3617,1763,3437,772,1553,2085,573,1308,1904,4815,1339,5204,5380,1007,6002,7055,7454,4104,4029,270,490,467,2586,1010,580,2516,1979,462,3389,6102,4099,928,6288,2929,3983,2154,3927,667,1853,1457,707,1480,2076,5188,1466,5134,4867,529,6095,7644,7731,3624,3977,253,561,319,2209
1110,593,2447,1596,594,3312,3916,3826,1255,5444,2857,3146,1787,3374,604,1606,1605,704,1283,1328,5460,1170,5143,5154,808,5911,7560,5847,4224,4292,302,616,523,2693,924,521,1913,1714,505,3390,5456,4483,1189,4918,2571,3279,1907,4442,688,1563,1434,1048,1687,1725,4082,1248,5294,4650,578,5984,7523,6269,4265,4124,286,526,403,2698
1451,723,3197,1512,401,4220,5344,3388,961,5267,3020,3018,1760,3470,921,1981,1967,729,1654,1291,5009,1272,5630,4905,1047,7255,10319,7134,4607,5756,234,396,543,3146,987,771,2682,1706,462,3791,7192,4165,1047,5376,3305,3099,2348,4231,826,1822,1912,897,2088,1456,4787,1371,6264,5401,696,6663,8973,6565,5171,5525,285,482,486,2820
1408,1225,2053,1557,576,3626,5819,4177,1231,5439,2967,3218,2734,4154,651,1571,2125,585,1457,1316,4839,2168,5757,4542,1054,5778,7470,6043,5286,5126,284,564,556,2506,965,1079,1575,1697,523,3903,5158,4603,1122,5544,3136,3745,2043,4265,649,2017,1256,717,1815,1630,5449,1485,4768,5031,1005,6630,8176,5424,4339,5552,358,604,396,2394
1107,491,2176,1546,460,3727,5369,3873,1055,4847,2549,2928,1785,3192,650,1512,1966,691,1630,1326,4515,997,5110,4392,878,6227,7932,5581,4081,5502,253,434,546,2415,1159,1028,2139,1528,389,2811,6125,3254,1035,4770,2592,3314,2135,3862,617,1733,1196,753,1199,1408,4189,1490,4960,4284,631,6567,7361,5509,4281,3587,323,505,361,2128
1285,509,2789,1132,387,3062,5005,3497,1288,4544,3300,2424,2089,3913,666,1369,1790,813,1534,989,5339,1485,5616,3978,866,5660,7913,5441,4715,5892,284,505,615,2682,1085,740,2681,1432,335,3028,7049,3929,1406,5190,2947,2890,1875,4036,653,1522,1440,853,1215,1362,4689,1358,5729,4156,632,5606,7600,5758,3719,3586,342,501,386,2512
1265,735,2246,1447,506,3772,5062,3160,1309,6209,2924,3246,1716,3483,798,1271,2191,692,1666,1340,4927,1361,5548,4339,923,5870,6996,6050,4692,4745,234,457,641,2788,880,666,1857,1698,789,3423,6233,3668,945,5894,2860,3768,2075,3870,637,2046,1467,999,1591,1630,4685,1490,5147,4312,521,6904,7213,6063,4256,4880,289,518,393,2702
1161,708,2964,1669,619,3260,4564,3992,1590,4894,2925,3405,1771,3519,678,1510,1295,708,1234,1465,4287,1484,4923,4591,917,6808,7617,6799,4589,5468,273,575,453,2874,990,764,2787,1762,469,3067,6952,3403,1097,5468,3215,3665,2265,4057,717,1718,1341,785,1586,1618,4742,1770,5281,4624,839,7493,7844,6264,4366,4428,292,426,370,2727
1144,382,2098,1382,412,3132,4740,3307,887,4729,2434,2553,1709,2967,611,1355,1446,714,1191,1128,3919,952,4622,3578,808,5288,7160,5366,3217,4175,215,473,279,2332,988,772,2006,1544,461,2479,4782,2884,668,4740,2390,3222,1833,3357,718,1452,1402,879,1732,1467,3768,1192,4261,3513,668,5318,6407,5306,3388,3620,280,463,316,2235
1036,495,1814,1144,376,2712,3646,3276,743,4112,2378,2156,1439,3516,617,1058,1344,665,1444,984,3383,975,3926,2724,538,4744,5696,3790,3841,3080,219,443,384,2063,986,438,1382,1010,328,2513,5160,3014,689,3813,2246,2217,1439,3105,550,1365,1065,850,1291,1138,3309,1020,3965,2705,387,4754,5542,4108,3152,3522,296,390,296,1891
916,542,2054,1266,497,2853,4792,2588,787,4537,2436,2575,1518,2539,481,1345,1606,542,1365,1000,3957,1029,4740,3827,601,4671,6782,5692,3379,3761,228,388,448,2204,920,754,2055,1221,343,2538,5202,2537,820,4191,1917,3079,1511,3338,489,1555,1734,591,1426,1152,3838,1115,4891,3745,748,3839,6082,5302,3579,3295,334,301,334,2229
1055,587,2249,2296,399,3115,4293,3590,1048,6426,2594,4304,2067,3248,665,1474,1826,711,1551,2030,4848,1457,5757,3937,667,6601,7904,5468,4268,3935,287,477,578,2530,1036,873,2289,2312,467,2889,5507,3401,975,5324,2372,4031,2233,3682,659,1666,1432,851,1586,2027,4429,1451,5712,4133,633,6418,7524,5817,3818,3047,296,404,366,2542
1112,656,2039,1420,571,3078,6166,3840,1046,5760,2783,2598,1691,3586,609,1489,1586,672,1412,1404,3974,1200,4625,4184,901,6378,7541,6111,3943,3552,311,488,441,2829,1121,639,2259,1616,546,2953,6606,3854,953,5261,2403,2985,1588,4121,515,1551,1437,921,1657,1575,4030,1118,5026,4391,778,5570,8169,6056,4193,3534,317,467,323,2411
982,629,2438,1878,260,3539,6344,4483,1184,6337,2867,2740,2039,4505,603,1400,1631,789,1364,1596,4249,1270,5023,4721,1061,6531,9015,6632,4727,4780,223,507,407,2319,1024,1043,2710,1684,294,3480,6638,4473,1094,6573,2851,3041,2031,4785,648,1403,1627,845,1436,1471,4663,1736,5599,4903,746,6357,7903,5737,4140,3844,305,496,380,2164
1365,562,2204,1297,471,3118,4590,3093,1080,3959,2720,2359,1882,3269,642,1451,1952,689,1336,1181,4563,1212,4764,4422,892,5418,7907,5748,4252,4220,266,501,440,2165,827,763,1914,1270,460,3135,5292,3498,841,4910,2806,2478,1945,3283,672,1811,1099,827,1322,1343,4621,1357,5060,4335,538,6177,7872,5448,3388,4099,288,493,288,2006
816,576,2046,1396,506,2562,3488,2529,853,3807,2388,2677,1535,2308,588,1521,1804,650,1283,1168,4203,1083,4480,4100,731,5737,7390,5196,3287,3732,246,387,398,2204,761,717,1885,1196,437,2885,4773,2875,811,4586,2150,2714,1698,2946,545,1667,1655,762,1751,1029,3949,1086,4480,3860,499,5291,6981,4720,3107,3878,308,447,337,2222
1076,747,2741,1638,551,3305,4304,3247,1060,4862,2414,3090,1699,2889,606,1409,1696,679,1551,1408,5624,1249,5479,4937,699,5868,7608,6482,4125,4310,247,569,458,2581,866,774,2361,2063,519,3417,5821,3815,977,5284,2411,3384,1933,3279,627,1801,1698,668,1693,1780,4778,1266,5146,4499,676,5731,7257,6293,3693,3764,276,530,351,2318
1177,548,1936,1477,395,2964,4448,2825,1117,5344,2660,3170,2002,3260,604,1411,1473,714,1275,1498,4439,1207,4994,3720,625,4545,7336,5506,3927,3774,211,446,391,2345,1104,627,1676,1546,301,2968,6050,3019,864,4717,2625,3116,1956,3419,606,1450,1217,781,1628,1557,3729,1073,4703,4073,622,5313,7085,5227,3770,3632,287,363,299,2215
1013,897,2715,1576,521,4439,6829,4197,1375,6068,3461,3074,2456,4025,745,1867,1964,817,1752,1203,4696,1380,5707,5963,1321,7550,9937,7233,5269,4680,323,520,513,3122,1086,1459,2063,2230,581,4482,6754,4487,1112,6210,3083,3743,2867,4519,767,1988,1499,961,1805,1897,4749,1755,5634,6401,1016,8156,9333,6640,4719,4523,416,547,440,2876
1076,614,2498,1704,449,3345,5470,3976,990,5675,2647,2480,1877,3407,762,1640,1718,685,1338,1269,4495,1098,5050,3462,815,6110,7986,5072,4108,3572,308,424,469,2515,785,772,2085,1604,417,3262,6102,3634,856,5938,2295,2848,1942,3898,637,1540,1492,765,1429,1427,3653,1339,4915,3764,567,6068,8292,5183,3719,3688,315,426,336,2278
915,569,2045,1620,412,2660,3643,3035,1063,4958,2164,3211,1583,3007,678,1230,1376,512,946,1596,4027,1110,4740,4138,496,4371,6461,5409,3611,3948,217,380,460,1910,775,618,2168,1439,506,2990,4119,3349,1006,5709,2154,3205,1572,3445,530,1439,1749,751,1712,1705,2763,1078,4212,2773,663,6663,8072,3552,3466,2466,284,451,344,2146
1333,578,1947,1332,462,3127,3579,3092,901,4628,2304,3132,1556,3082,619,1298,1426,629,1265,1340,3583,1195,4403,3021,632,4920,6209,4375,3626,3865,235,461,373,2156,1000,569,1530,1320,602,3148,5308,3240,914,4351,2212,2999,1912,3364,675,1298,1255,746,1522,1520,3337,957,3949,3440,449,5753,5846,4597,3382,3833,318,443,288,2044
1691,937,2439,1718,522,4112,5327,4202,1213,6240,3498,3832,2038,4119,784,1636,2218,913,1783,1575,5762,1561,5907,5088,1205,7898,10351,7434,5387,6761,314,596,661,3489,1038,940,2479,1851,601,4243,7449,4760,1033,7077,3589,3844,2667,4805,762,1658,1916,1161,1860,1891,5621,1444,5616,5379,748,8718,8908,6881,5037,5083,301,595,410,3275
1007,571,2319,1649,543,3127,4980,3491,1094,5132,2824,3505,1929,3103,615,1535,1680,620,1073,1483,4737,1213,5495,4441,977,4939,7407,5395,3763,4201,246,497,446,2127,857,735,2007,1551,473,3107,5964,3658,842,4828,2595,3303,1936,3611,616,1568,1428,717,1464,1441,4606,1345,5450,4315,667,5052,7374,5712,3689,4124,322,492,240,2083
974,514,2009,1365,392,2645,4159,2663,974,4346,1910,2549,1419,3034,559,1562,1461,510,1055,1079,4246,1048,5036,3524,605,4758,6635,4555,3600,3956,178,412,401,1879,839,598,1646,1394,383,2891,5960,2917,860,4551,2088,2398,1478,3511,549,1475,1309,715,1300,1155,3874,1155,5490,3371,627,4709,5558,5494,3434,3041,290,453,270,1795
1107,572,3011,1578,577,2707,4129,3681,1342,5261,2853,3171,1985,2915,663,1396,1410,709,1113,1437,4933,1305,5742,3723,937,5732,8703,5429,3800,5337,263,436,411,2271,856,769,2483,1881,460,3003,5869,3513,1079,5497,2803,3173,1879,3681,668,1418,1373,969,1933,1603,4678,1390,5386,4143,550,5727,8064,5777,3225,3302,280,515,334,2339
998,531,2386,1516,607,3507,6242,3946,1249,5364,2943,3742,1928,3692,744,1355,1991,726,1476,1505,3992,1285,4654,4183,923,5882,8442,6198,4305,4232,266,539,571,2626,1094,789,2253,1560,446,3553,6389,3422,1021,4478,2990,3221,1937,3965,763,1533,1405,871,1528,1577,4044,1303,4682,4534,700,6182,7097,5847,4285,4006,328,484,345,2406
1022,573,3041,1733,549,3311,4727,3476,1185,5832,2698,3361,2340,3424,620,1687,1561,607,1368,1856,4948,1447,5669,4217,813,5915,8459,6436,4421,5172,273,445,496,2679,1044,637,2374,1885,553,3310,5568,3298,1161,5179,2704,3640,2118,3713,642,1793,1336,735,1578,1931,5699,1212,6208,4689,587,5574,8191,5390,4793,4694,328,539,466,2850
1103,765,2237,1868,487,3833,4988,3090,1284,6035,2974,3485,2083,2883,713,1561,2162,873,1778,1889,4598,1619,5529,4753,1184,6366,9364,7019,4582,5157,328,493,597,2777,955,831,2315,2050,434,3475,6143,3248,1224,6185,3285,4046,2199,3882,709,1885,1552,934,1899,2249,4729,1592,5528,4779,853,5777,9360,6428,4390,4866,323,500,388,2560
1180,565,2855,2169,572,3501,4830,3898,1075,6451,2936,3650,1874,3566,710,1463,1747,634,1097,2055,4649,1144,5633,4323,892,6432,8047,5633,4377,5236,299,457,438,2280,1063,1016,2386,1677,519,3447,6175,4416,1346,5856,2966,3753,2089,4052,580,1511,1469,875,1701,1978,4264,1350,4960,4660,709,6514,7359,5370,3746,3972,348,537,327,2191
1195,460,2292,1320,407,2874,4837,2752,1088,5013,2553,2768,1929,3073,638,1313,1775,600,1252,1122,3954,1074,4591,3820,690,5903,7247,5158,5014,5184,225,397,498,2129,911,548,2436,1628,450,3106,5400,2871,954,5197,2641,3022,1946,3652,621,1365,1433,823,1720,1293,4048,1099,4799,4382,524,5946,6145,5539,4162,4275,307,393,405,2101
940,489,2070,1569,337,2960,4270,3505,1162,5347,2505,2716,1778,3033,620,1229,1602,695,1510,1203,3675,1280,4451,3648,832,5503,6931,4741,3548,2846,229,509,416,2342,974,642,2089,1476,231,2847,4762,2778,941,4993,2485,2810,1914,3379,581,1488,1492,867,1502,1262,4210,1153,4576,3525,518,5233,6333,4762,3670,3449,279,384,363,2365
1100,675,2725,1500,427,3370,5287,3767,1030,5778,2776,3118,2132,3649,835,1833,1547,740,1233,1567,4934,1386,5325,4222,971,5964,8960,5646,4394,4779,287,447,480,2565,969,850,2418,1726,404,3489,5585,3354,1246,5795,2804,3666,2215,4105,666,1545,1787,852,1569,1956,4524,1623,5241,4193,745,6452,8373,5445,4233,4133,362,511,366,2689
1296,618,2054,1925,383,3427,5788,3794,1276,5817,3112,3204,1969,3692,684,1871,1793,770,1821,1601,4111,1404,5337,4637,851,5521,8012,6334,4637,5179,217,452,506,3215,1218,663,2407,1976,373,3536,6495,3796,1054,5208,3153,3165,2129,4550,782,2083,1559,953,1798,1710,4445,1323,5480,5006,771,5130,7777,6755,4940,4794,257,449,462,2532
710,795,2265,1821,743,3246,3281,3153,1103,4638,2427,3308,1963,2427,709,1581,1507,701,1216,1666,4365,1410,4819,3827,982,4942,7300,6593,3979,4641,231,624,485,2292,888,735,1994,1790,425,2919,4389,3110,876,4872,2519,3799,1983,3621,678,1771,1259,959,1506,1875,4165,1137,4617,3480,599,5238,6840,5640,3698,3265,248,542,298,2162
1023,633,2708,1663,470,3723,4943,4664,1022,5356,3068,3274,1783,3389,858,1617,1742,818,1428,1520,4278,1434,5418,4472,920,7522,8768,5858,4068,5097,296,459,520,2725,1088,728,2323,1735,443,3828,5829,4007,997,5321,2813,3701,2075,4069,835,1495,1353,903,1420,1845,4111,1257,6209,5228,561,6264,9224,6127,3844,4281,328,548,384,2519
1023,976,2832,1890,486,3475,4288,4025,1101,5307,2961,3713,2054,3617,724,1380,1830,797,1530,1704,4911,1670,4708,4065,1017,5969,7429,5141,4096,4159,261,563,428,2339,1184,626,2227,1981,459,3518,5950,3766,1056,5145,2780,3846,2290,3756,692,1447,1403,855,1470,1865,4284,1334,5009,4067,589,6857,7111,5208,3808,3901,283,454,327,2387
1026,479,2592,1469,324,2715,4186,2670,1077,4982,2339,2976,1980,2966,603,1433,1634,622,1146,1198,4684,1274,5330,3544,855,6609,7316,5659,3791,4151,266,395,468,2150,876,702,1977,1568,396,2932,6360,2908,901,4915,2421,3149,1986,3231,637,1576,1450,788,1700,1606,4194,1218,4767,3802,623,6739,6963,5632,3759,3412,311,420,332,2479
1161,668,2215,1546,691,3471,5940,3741,1053,6276,3184,3702,1946,3750,995,1546,1770,706,1640,1784,4285,1183,5189,4370,946,6565,9632,7058,4171,5415,253,560,433,2827,1339,916,2109,2098,399,3314,6477,3525,1004,7518,3277,4219,2362,4328,905,1946,1377,1043,1515,2095,4912,1210,5052,4752,583,7111,8235,5489,4304,4072,333,505,338,2431
1104,588,2078,1361,544,3675,5188,3984,1141,4727,3055,3052,1770,3497,732,1377,1629,798,1559,1272,5153,1210,5486,4388,989,7564,8255,6171,3716,5098,275,485,406,2919,1038,876,1778,1782,447,3247,6572,3402,932,5676,2943,3454,2244,3580,627,1732,1438,1017,1709,1599,4442,1187,5315,4698,670,7516,8455,5623,3914,4225,286,496,383,2496
1045,585,2579,1729,412,2832,4784,2877,1052,5299,2944,2711,2071,3069,628,1418,1641,798,1382,1569,3506,1004,4685,4265,893,5759,7412,6216,3785,4054,228,425,394,2066,843,714,2438,1733,462,2707,5237,3194,964,4691,2599,3202,2162,3231,542,1504,1409,903,1608,1764,3601,1250,5254,4383,596,5526,7413,6310,3669,3384,277,438,332,2394
1174,700,2790,1909,522,4121,5783,4402,1386,7149,2698,3287,1904,3376,686,1815,1646,719,1291,1654,4638,1314,5286,5881,1083,6791,8811,7388,4312,4714,300,392,504,2593,1058,878,1991,2120,466,3675,6333,4784,1521,7079,2980,3717,1916,4650,728,1728,1200,922,1423,2017,4973,1562,5076,5734,547,7166,8075,6608,3402,4056,347,439,286,2417
1413,556,2366,1253,547,3246,5090,3600,1143,4494,2931,3051,2310,3428,787,1578,2155,717,1767,1226,4422,1115,5416,5001,847,5870,9015,5856,4775,6133,255,479,528,2646,929,838,2117,1484,259,3251,6449,3640,880,4987,2939,2999,2268,4493,689,1732,1069,964,1445,1345,4307,1346,5171,4845,616,6800,8414,5703,4307,4872,261,478,376,2828
885,881,2217,1839,426,3658,4337,3641,1334,5572,3068,3220,2033,3026,715,1371,1939,667,1709,1422,3791,1470,5389,4946,968,6037,7299,6103,4414,3955,280,464,598,2463,897,716,2243,1705,358,3794,4599,3278,1252,5423,2990,3433,2070,3809,628,1547,1492,832,1687,1503,3641,1342,5500,5442,648,6498,7593,6320,4225,4054,312,443,432,2424
967,543,2730,2157,379,3163,4175,3602,1205,4895,2632,3213,1643,3457,662,1298,1496,745,1412,1796,4606,1087,5153,4341,830,6933,7553,6957,4495,4671,273,418,450,2352,1042,623,2500,2519,383,3178,5474,3929,1023,5355,2571,3050,1974,3754,673,1711,1368,882,1666,2129,4283,1097,5141,4734,475,7071,7750,7267,3938,3501,283,442,390,2145
1187,558,2509,1322,359,3130,5228,3436,992,4379,2533,2723,1683,3266,738,1325,1406,548,979,1196,4159,1237,4767,3907,1087,6445,7587,5035,4019,4399,249,427,393,2312,1020,703,2656,1413,326,2874,6138,3456,1037,4643,2583,2940,1993,3645,562,1440,1332,731,1450,1418,4376,1191,4957,4146,797,5990,7030,5196,3475,3949,275,430,321,2022
1034,818,2157,1640,574,3196,5147,3214,1147,5853,2580,3545,1592,3060,614,1558,1813,606,1447,1687,4591,1450,6029,3722,830,4894,7358,5717,4067,3961,186,498,427,2479,1067,818,2609,1823,472,3448,5172,3271,1027,5486,2293,3507,1518,3211,612,1479,1417,727,1560,1587,4286,1306,5298,3659,619,5315,7223,5580,3967,3773,249,499,389,2619
1261,503,3393,1522,420,3385,5053,2999,1089,5175,2675,3505,1879,3838,705,969,2047,609,1465,1369,2795,1103,6094,3825,1016,5602,7952,4965,4584,3525,289,450,433,2172,1155,566,1884,1819,573,2898,6255,3672,990,5584,2436,3440,1910,3986,606,1611,1262,676,1300,1462,4135,1181,4715,4536,506,6258,6779,5401,3687,4359,305,412,357,2366
1121,609,2184,1638,547,4036,5310,4484,1510,6101,3228,3358,2039,3614,803,1626,1922,972,1806,1538,5070,1667,5478,5071,1050,6797,8983,6530,4635,5359,266,518,533,2862,1263,578,2752,2000,442,3946,5365,4387,1296,6814,2896,3248,1979,4225,792,1643,1625,1046,1588,1683,4747,1284,5724,5026,661,7578,7918,6385,4354,4792,325,492,380,2942
872,732,2277,1629,454,2995,4334,3028,844,5609,2747,3135,1802,2957,741,1579,1338,727,1181,1449,4323,1201,5340,3278,1062,5247,7787,4559,3703,3854,247,454,382,1778,803,1010,1629,1703,551,2972,4963,3270,977,5703,2727,3524,1848,3199,577,1519,1455,859,1365,1662,4453,1263,4836,3523,653,6374,7466,4456,3383,3428,276,461,375,1870
