"L_bankssts_surfavg","L_caudalanteriorcingulate_surfavg","L_caudalmiddlefrontal_surfavg","L_cuneus_surfavg","L_entorhinal_surfavg","L_fusiform_surfavg","L_inferiorparietal_surfavg","L_inferiortemporal_surfavg","L_isthmuscingulate_surfavg","L_lateraloccipital_surfavg","L_lateralorbitofrontal_surfavg","L_lingual_surfavg","L_medialorbitofrontal_surfavg","L_middletemporal_surfavg","L_parahippocampal_surfavg","L_paracentral_surfavg","L_parsopercularis_surfavg","L_parsorbitalis_surfavg","L_parstriangularis_surfavg","L_pericalcarine_surfavg","L_postcentral_surfavg","L_posteriorcingulate_surfavg","L_precentral_surfavg","L_precuneus_surfavg","L_rostralanteriorcingulate_surfavg","L_rostralmiddlefrontal_surfavg","L_superiorfrontal_surfavg","L_superiorparietal_surfavg","L_superiortemporal_surfavg","L_supramarginal_surfavg","L_frontalpole_surfavg","L_temporalpole_surfavg","L_transversetemporal_surfavg","L_insula_surfavg","R_bankssts_surfavg","R_caudalanteriorcingulate_surfavg","R_caudalmiddlefrontal_surfavg","R_cuneus_surfavg","R_entorhinal_surfavg","R_fusiform_surfavg","R_inferiorparietal_surfavg","R_inferiortemporal_surfavg","R_isthmuscingulate_surfavg","R_lateraloccipital_surfavg","R_lateralorbitofrontal_surfavg","R_lingual_surfavg","R_medialorbitofrontal_surfavg","R_middletemporal_surfavg","R_parahippocampal_surfavg","R_paracentral_surfavg","R_parsopercularis_surfavg","R_parsorbitalis_surfavg","R_parstriangularis_surfavg","R_pericalcarine_surfavg","R_postcentral_surfavg","R_posteriorcingulate_surfavg","R_precentral_surfavg","R_precuneus_surfavg","R_rostralanteriorcingulate_surfavg","R_rostralmiddlefrontal_surfavg","R_superiorfrontal_surfavg","R_superiorparietal_surfavg","R_superiortemporal_surfavg","R_supramarginal_surfavg","R_frontalpole_surfavg","R_temporalpole_surfavg","R_transversetemporal_surfavg","R_insula_surfavg"
1209,989,2832,2136,413,3735,5362,3581,1238,6903,2497,3377,2146,4029,642,1785,1891,420,1323,1689,4612,1614,5267,4637,876,5790,8295,5509,5157,4649,266,485,472,2353,1208,742,2546,1913,340,3406,6241,3404,1299,6050,2488,3680,1840,3808,662,1791,1592,588,1661,1718,4615,1400,5745,5032,583,6360,7905,6277,5127,4848,289,452,419,2506
752,663,2371,1511,353,2901,4629,3287,1106,4898,2189,3097,1494,3131,555,1323,1752,599,1201,1397,3916,1254,4637,3181,707,5058,5578,4974,3466,3887,235,441,398,2044,942,594,2114,1450,372,3004,5213,2581,902,5132,1862,3026,1539,3341,556,1471,1525,706,1260,1427,3536,899,4193,3701,412,5801,6355,4944,3525,3672,234,466,349,2164
1191,448,2654,1619,462,3375,4770,3258,758,6089,2495,3610,1769,3052,562,1512,1308,582,964,1705,4380,1089,4959,3456,622,5382,6769,4905,3693,4283,263,361,380,1891,872,535,2132,1984,428,3429,5816,3755,880,5816,2118,3838,1915,3511,531,1588,1269,807,1290,1988,4214,1070,4867,3684,424,5569,6945,4523,3208,3451,335,438,325,1859
1098,638,1954,1593,464,3393,6451,3579,1406,5457,2493,3176,1716,3847,787,1314,1909,771,1630,1386,4748,1310,5207,4655,906,5879,7387,5930,3894,4409,280,458,449,2501,1046,632,2399,1786,369,2947,7235,3778,1036,4977,2506,3174,1934,4407,687,1730,1369,917,1526,1838,4277,1468,5031,4590,506,6006,7298,5260,3822,3912,372,393,324,2333
1094,847,3005,1818,371,3692,3996,3589,1084,5792,3211,3528,2057,3306,777,1496,1755,708,1424,1598,4740,1541,5550,4783,1065,6642,8291,5517,4019,4959,295,498,450,2960,954,559,2737,1796,385,3198,6072,3993,903,4965,3466,3450,2363,3933,618,1436,1415,912,1486,1696,4461,1290,4699,5101,762,7637,8887,6210,3952,3288,390,505,291,2220
883,719,2227,1734,407,3436,4832,3186,1398,5145,3013,3232,1915,3387,753,1514,2261,845,1778,1289,4263,1393,5352,4251,883,7014,7994,7022,4650,4908,331,498,676,2544,969,751,2707,1598,386,3793,5777,3845,896,6153,3018,3508,2093,4083,827,1614,1478,776,1850,1588,4070,1173,5359,4441,650,7116,7241,6455,3967,4241,355,525,416,2318
1120,586,2378,1611,508,3269,5233,3723,977,5107,2865,2917,1544,3441,753,1432,1481,775,1180,1518,4542,1283,4807,3956,835,5721,7284,5690,3817,3962,250,555,423,2552,1071,609,2226,1511,400,2840,6583,3275,902,4612,2655,3462,1937,3748,600,1504,1290,895,1452,1588,4369,1087,4900,4097,632,5471,7133,5224,3951,3837,297,520,320,2553
1014,582,2394,1887,362,3040,4056,3001,903,5053,2843,3436,1830,2970,541,1305,1633,653,1487,1901,4203,1035,4590,3803,946,5977,7059,5424,4423,3949,243,401,421,2540,991,829,1643,1864,362,2674,5673,3207,966,6143,3053,3486,2028,3446,521,1470,1388,903,1842,2123,3823,1202,4469,4037,843,5775,7248,4724,4044,3556,250,510,336,2246
889,566,2298,1780,541,3138,5017,2477,1114,5527,2045,3502,1363,2754,568,1118,1406,506,993,1497,4010,1166,4747,4367,629,4874,6760,6308,3901,4923,246,450,455,1924,971,744,1777,1579,455,2995,6328,2995,1180,6839,1851,3316,1509,3038,545,1447,1305,599,1275,1420,3986,1294,4543,4070,477,4546,6628,5758,3578,3685,293,397,321,1872
1102,865,2582,1617,493,3597,5227,3561,1097,5515,3248,3470,2193,3275,766,1649,1819,897,1663,1442,4387,1682,5774,4472,1105,7579,9086,5829,4824,4708,260,582,542,2837,1103,759,2504,1842,526,3359,6427,3803,1114,5167,3440,3628,2189,4184,776,1849,1760,988,2042,1690,4590,1395,5936,4842,610,7881,8994,5555,4112,4302,313,395,489,2490
